iter	Passed	Remaining
0	36	36085
1	72	35970
2	108	36204
3	140	34970
4	175	34956
5	208	34500
6	243	34514
7	279	34709
8	311	34288
9	345	34248
10	381	34293
11	419	34561
12	457	34710
13	495	34881
14	533	35048
15	571	35158
16	615	35616
17	657	35865
18	697	36004
19	751	36832
20	797	37160
21	839	37299
22	877	37257
23	912	37105
24	950	37062
25	990	37101
26	1028	37066
27	1068	37108
28	1109	37139
29	1145	37032
30	1181	36926
31	1216	36794
32	1251	36684
33	1287	36592
34	1322	36459
35	1357	36358
36	1394	36291
37	1429	36197
38	1465	36112
39	1500	36003
40	1535	35909
41	1575	35937
42	1607	35777
43	1643	35702
44	1680	35670
45	1721	35695
46	1760	35695
47	1800	35713
48	1840	35723
49	1880	35735
50	1921	35747
51	1962	35782
52	2001	35754
53	2036	35680
54	2074	35644
55	2113	35629
56	2149	35569
57	2187	35524
58	2226	35508
59	2263	35461
60	2301	35427
61	2337	35363
62	2377	35360
63	2415	35319
64	2450	35256
65	2490	35247
66	2526	35178
67	2561	35113
68	2600	35083
69	2634	35004
70	2671	34951
71	2707	34895
72	2747	34885
73	2786	34871
74	2824	34840
75	2861	34794
76	2898	34748
77	2937	34718
78	2975	34686
79	3015	34673
80	3053	34645
81	3093	34634
82	3134	34627
83	3173	34601
84	3212	34581
85	3248	34527
86	3290	34530
87	3331	34531
88	3371	34511
89	3412	34503
90	3450	34463
91	3488	34429
92	3527	34406
93	3569	34400
94	3613	34426
95	3651	34386
96	3690	34356
97	3726	34298
98	3764	34264
99	3801	34216
100	3840	34185
101	3882	34176
102	3919	34134
103	3957	34097
104	3995	34056
105	4032	34005
106	4066	33936
107	4105	33905
108	4144	33881
109	4184	33854
110	4227	33857
111	4267	33832
112	4305	33796
113	4344	33766
114	4383	33733
115	4426	33735
116	4470	33735
117	4515	33754
118	4554	33715
119	4592	33680
120	4630	33635
121	4668	33595
122	4705	33552
123	4741	33493
124	4777	33441
125	4814	33395
126	4853	33365
127	4891	33326
128	4932	33302
129	4967	33245
130	5003	33192
131	5036	33119
132	5070	33053
133	5103	32982
134	5134	32897
135	5168	32837
136	5205	32791
137	5237	32715
138	5271	32653
139	5308	32607
140	5344	32557
141	5382	32522
142	5420	32487
143	5458	32448
144	5494	32397
145	5527	32334
146	5563	32281
147	5601	32247
148	5638	32203
149	5675	32161
150	5710	32108
151	5743	32044
152	5776	31975
153	5808	31907
154	5840	31839
155	5875	31788
156	5908	31724
157	5939	31654
158	5973	31597
159	6008	31544
160	6040	31479
161	6074	31419
162	6110	31378
163	6145	31327
164	6178	31269
165	6213	31215
166	6246	31156
167	6280	31103
168	6312	31037
169	6345	30982
170	6378	30923
171	6415	30883
172	6451	30838
173	6486	30791
174	6521	30742
175	6556	30697
176	6592	30653
177	6629	30616
178	6666	30575
179	6703	30538
180	6740	30498
181	6777	30462
182	6807	30389
183	6844	30354
184	6871	30273
185	6899	30192
186	6927	30117
187	6954	30036
188	6988	29989
189	7022	29939
190	7059	29901
191	7095	29861
192	7130	29813
193	7163	29760
194	7197	29712
195	7229	29655
196	7262	29604
197	7297	29557
198	7330	29505
199	7365	29460
200	7391	29381
201	7414	29292
202	7446	29236
203	7480	29188
204	7512	29135
205	7546	29086
206	7580	29041
207	7607	28968
208	7641	28920
209	7673	28867
210	7701	28797
211	7728	28725
212	7755	28655
213	7789	28609
214	7824	28567
215	7856	28514
216	7891	28475
217	7923	28424
218	7957	28377
219	7987	28320
220	8020	28272
221	8054	28227
222	8084	28167
223	8118	28123
224	8153	28083
225	8185	28032
226	8221	27996
227	8254	27948
228	8292	27919
229	8326	27875
230	8360	27830
231	8393	27786
232	8426	27738
233	8458	27689
234	8492	27644
235	8526	27601
236	8560	27558
237	8592	27510
238	8626	27467
239	8661	27426
240	8695	27385
241	8728	27339
242	8759	27286
243	8793	27244
244	8826	27198
245	8860	27157
246	8894	27114
247	8928	27074
248	8957	27015
249	8980	26942
250	9017	26908
251	9050	26864
252	9083	26820
253	9117	26779
254	9151	26736
255	9181	26684
256	9216	26643
257	9251	26606
258	9275	26538
259	9305	26485
260	9340	26447
261	9372	26401
262	9407	26361
263	9440	26317
264	9475	26279
265	9507	26234
266	9540	26192
267	9575	26153
268	9607	26107
269	9642	26070
270	9674	26025
271	9708	25983
272	9740	25939
273	9772	25893
274	9808	25859
275	9840	25814
276	9875	25777
277	9901	25715
278	9927	25654
279	9951	25589
280	9976	25526
281	10001	25465
282	10026	25403
283	10059	25362
284	10095	25327
285	10128	25285
286	10164	25251
287	10197	25210
288	10231	25172
289	10266	25136
290	10301	25098
291	10327	25041
292	10360	25000
293	10396	24964
294	10429	24924
295	10462	24883
296	10489	24828
297	10513	24766
298	10537	24704
299	10561	24644
300	10594	24602
301	10627	24562
302	10650	24498
303	10675	24442
304	10700	24382
305	10724	24322
306	10749	24264
307	10774	24208
308	10807	24168
309	10833	24113
310	10859	24058
311	10892	24019
312	10926	23982
313	10955	23934
314	10981	23881
315	11007	23827
316	11032	23770
317	11058	23716
318	11088	23671
319	11122	23635
320	11147	23579
321	11174	23529
322	11203	23482
323	11231	23432
324	11257	23380
325	11284	23331
326	11311	23280
327	11337	23228
328	11363	23176
329	11391	23127
330	11417	23075
331	11441	23020
332	11467	22969
333	11494	22919
334	11519	22867
335	11545	22815
336	11569	22761
337	11598	22716
338	11624	22665
339	11650	22615
340	11675	22564
341	11702	22516
342	11727	22463
343	11752	22411
344	11776	22357
345	11802	22307
346	11827	22257
347	11854	22210
348	11880	22160
349	11905	22110
350	11931	22061
351	11955	22009
352	11979	21956
353	12006	21910
354	12033	21864
355	12059	21814
356	12086	21768
357	12109	21715
358	12136	21669
359	12162	21622
360	12188	21575
361	12214	21526
362	12239	21478
363	12266	21432
364	12292	21385
365	12319	21340
366	12347	21296
367	12372	21248
368	12400	21204
369	12426	21158
370	12452	21112
371	12479	21067
372	12506	21022
373	12532	20977
374	12558	20930
375	12585	20886
376	12613	20844
377	12638	20797
378	12665	20752
379	12691	20707
380	12716	20659
381	12741	20613
382	12767	20568
383	12794	20525
384	12820	20478
385	12846	20435
386	12871	20388
387	12898	20345
388	12923	20298
389	12950	20255
390	12974	20207
391	13001	20165
392	13027	20120
393	13050	20073
394	13076	20028
395	13102	19984
396	13128	19940
397	13152	19894
398	13179	19852
399	13203	19805
400	13231	19764
401	13258	19722
402	13284	19679
403	13310	19635
404	13335	19591
405	13361	19548
406	13387	19504
407	13411	19460
408	13435	19414
409	13459	19369
410	13484	19324
411	13508	19279
412	13532	19233
413	13557	19189
414	13581	19145
415	13605	19100
416	13632	19059
417	13657	19016
418	13682	18972
419	13707	18929
420	13739	18896
421	13764	18853
422	13791	18813
423	13816	18769
424	13841	18727
425	13867	18685
426	13893	18643
427	13918	18600
428	13943	18558
429	13968	18515
430	13995	18477
431	14021	18435
432	14046	18393
433	14072	18352
434	14099	18312
435	14125	18272
436	14151	18231
437	14177	18191
438	14203	18151
439	14229	18110
440	14255	18069
441	14279	18026
442	14304	17985
443	14329	17944
444	14356	17905
445	14384	17867
446	14411	17829
447	14438	17790
448	14465	17751
449	14492	17713
450	14531	17688
451	14558	17650
452	14586	17613
453	14613	17575
454	14642	17538
455	14671	17502
456	14700	17466
457	14728	17429
458	14756	17392
459	14784	17355
460	14813	17320
461	14841	17283
462	14871	17248
463	14899	17211
464	14928	17175
465	14954	17136
466	14982	17099
467	15009	17062
468	15037	17025
469	15065	16988
470	15091	16949
471	15118	16911
472	15142	16870
473	15168	16832
474	15193	16793
475	15218	16753
476	15242	16712
477	15270	16676
478	15298	16640
479	15325	16602
480	15351	16563
481	15376	16525
482	15404	16489
483	15431	16451
484	15457	16413
485	15490	16382
486	15516	16345
487	15541	16306
488	15567	16267
489	15595	16231
490	15621	16194
491	15650	16159
492	15678	16123
493	15709	16090
494	15737	16055
495	15764	16019
496	15793	15983
497	15822	15950
498	15850	15914
499	15878	15878
500	15906	15843
501	15934	15807
502	15962	15771
503	15988	15734
504	16016	15699
505	16045	15664
506	16072	15628
507	16102	15595
508	16131	15561
509	16161	15527
510	16190	15492
511	16219	15458
512	16246	15423
513	16272	15385
514	16301	15352
515	16330	15317
516	16357	15282
517	16385	15247
518	16414	15213
519	16442	15178
520	16471	15143
521	16501	15110
522	16527	15073
523	16552	15035
524	16577	14998
525	16603	14962
526	16628	14924
527	16652	14886
528	16679	14850
529	16706	14815
530	16733	14780
531	16760	14744
532	16787	14708
533	16814	14673
534	16841	14638
535	16869	14603
536	16897	14568
537	16926	14535
538	16954	14500
539	16983	14467
540	17012	14433
541	17039	14398
542	17068	14365
543	17095	14329
544	17123	14295
545	17151	14261
546	17178	14226
547	17208	14193
548	17236	14159
549	17264	14125
550	17290	14090
551	17317	14054
552	17344	14019
553	17370	13984
554	17396	13948
555	17422	13913
556	17448	13877
557	17474	13841
558	17502	13807
559	17528	13772
560	17554	13736
561	17579	13700
562	17605	13665
563	17632	13630
564	17660	13596
565	17691	13565
566	17719	13531
567	17747	13497
568	17773	13462
569	17801	13429
570	17828	13394
571	17856	13360
572	17886	13328
573	17915	13296
574	17941	13261
575	17969	13227
576	17996	13193
577	18023	13158
578	18051	13125
579	18080	13092
580	18108	13059
581	18137	13026
582	18164	12992
583	18193	12959
584	18222	12927
585	18250	12893
586	18278	12860
587	18305	12826
588	18331	12791
589	18358	12757
590	18389	12726
591	18419	12694
592	18447	12661
593	18475	12628
594	18506	12596
595	18537	12565
596	18568	12534
597	18599	12503
598	18629	12471
599	18663	12442
600	18694	12410
601	18724	12379
602	18757	12349
603	18786	12316
604	18814	12283
605	18844	12252
606	18874	12220
607	18903	12187
608	18933	12155
609	18961	12122
610	18990	12090
611	19019	12057
612	19048	12025
613	19076	11992
614	19106	11960
615	19137	11929
616	19167	11898
617	19198	11867
618	19225	11833
619	19253	11800
620	19282	11768
621	19310	11735
622	19338	11702
623	19366	11669
624	19395	11637
625	19426	11606
626	19457	11575
627	19488	11544
628	19517	11511
629	19547	11480
630	19575	11447
631	19604	11415
632	19634	11383
633	19666	11353
634	19696	11321
635	19726	11290
636	19756	11258
637	19786	11226
638	19818	11196
639	19850	11166
640	19879	11133
641	19911	11103
642	19941	11071
643	19969	11038
644	19999	11007
645	20030	10976
646	20060	10945
647	20089	10912
648	20127	10885
649	20164	10857
650	20202	10830
651	20239	10802
652	20268	10770
653	20307	10743
654	20336	10711
655	20366	10680
656	20394	10647
657	20425	10616
658	20456	10585
659	20485	10553
660	20512	10520
661	20539	10486
662	20569	10455
663	20598	10423
664	20627	10391
665	20655	10358
666	20686	10327
667	20716	10296
668	20746	10264
669	20779	10234
670	20810	10203
671	20839	10171
672	20866	10138
673	20892	10105
674	20922	10073
675	20950	10041
676	20980	10009
677	21007	9976
678	21034	9944
679	21062	9911
680	21088	9878
681	21114	9844
682	21139	9811
683	21166	9778
684	21194	9746
685	21220	9713
686	21245	9679
687	21270	9645
688	21295	9612
689	21322	9579
690	21348	9546
691	21377	9514
692	21403	9481
693	21429	9448
694	21454	9415
695	21479	9381
696	21506	9349
697	21532	9316
698	21563	9285
699	21590	9252
700	21616	9220
701	21643	9187
702	21674	9156
703	21701	9124
704	21730	9092
705	21760	9061
706	21788	9029
707	21819	8999
708	21853	8969
709	21884	8938
710	21913	8907
711	21943	8875
712	21972	8844
713	22002	8813
714	22032	8782
715	22061	8750
716	22089	8718
717	22115	8685
718	22144	8654
719	22173	8623
720	22200	8590
721	22224	8557
722	22250	8524
723	22277	8492
724	22304	8460
725	22330	8427
726	22357	8395
727	22384	8363
728	22411	8331
729	22436	8298
730	22465	8267
731	22494	8235
732	22523	8204
733	22557	8174
734	22588	8144
735	22619	8113
736	22650	8082
737	22680	8051
738	22709	8020
739	22742	7990
740	22774	7960
741	22803	7928
742	22831	7897
743	22860	7865
744	22890	7834
745	22923	7805
746	22954	7774
747	22986	7744
748	23016	7713
749	23044	7681
750	23075	7650
751	23104	7619
752	23131	7587
753	23161	7556
754	23189	7525
755	23220	7494
756	23247	7462
757	23275	7430
758	23304	7399
759	23332	7368
760	23356	7335
761	23386	7304
762	23414	7272
763	23439	7240
764	23467	7209
765	23494	7177
766	23519	7144
767	23551	7114
768	23579	7083
769	23608	7051
770	23633	7019
771	23657	6987
772	23684	6955
773	23711	6923
774	23738	6891
775	23764	6859
776	23790	6827
777	23817	6796
778	23841	6763
779	23868	6732
780	23895	6700
781	23922	6668
782	23950	6637
783	23980	6606
784	24007	6575
785	24035	6543
786	24062	6512
787	24087	6480
788	24116	6449
789	24145	6418
790	24173	6387
791	24201	6355
792	24229	6324
793	24258	6293
794	24285	6262
795	24311	6230
796	24336	6198
797	24366	6167
798	24395	6136
799	24421	6105
800	24447	6073
801	24473	6042
802	24499	6010
803	24529	5979
804	24555	5948
805	24581	5916
806	24609	5885
807	24638	5854
808	24668	5824
809	24699	5793
810	24728	5762
811	24758	5732
812	24789	5701
813	24818	5671
814	24847	5640
815	24877	5609
816	24907	5579
817	24936	5548
818	24966	5517
819	24995	5486
820	25024	5456
821	25053	5425
822	25083	5394
823	25113	5364
824	25142	5333
825	25172	5302
826	25201	5272
827	25231	5241
828	25260	5210
829	25289	5179
830	25319	5149
831	25353	5119
832	25387	5089
833	25414	5058
834	25444	5028
835	25474	4997
836	25502	4966
837	25529	4935
838	25559	4904
839	25591	4874
840	25623	4844
841	25650	4813
842	25677	4782
843	25707	4751
844	25736	4720
845	25764	4690
846	25792	4659
847	25826	4629
848	25857	4598
849	25887	4568
850	25913	4537
851	25942	4506
852	25971	4475
853	26000	4445
854	26029	4414
855	26058	4383
856	26088	4353
857	26115	4322
858	26142	4291
859	26170	4260
860	26196	4229
861	26224	4198
862	26252	4167
863	26280	4136
864	26307	4105
865	26334	4074
866	26361	4043
867	26390	4013
868	26416	3982
869	26443	3951
870	26470	3920
871	26498	3889
872	26525	3858
873	26551	3827
874	26580	3797
875	26607	3766
876	26633	3735
877	26660	3704
878	26688	3673
879	26715	3643
880	26742	3612
881	26769	3581
882	26795	3550
883	26822	3519
884	26848	3488
885	26878	3458
886	26906	3427
887	26933	3397
888	26959	3366
889	26987	3335
890	27015	3304
891	27044	3274
892	27072	3243
893	27100	3213
894	27126	3182
895	27154	3151
896	27180	3121
897	27208	3090
898	27236	3059
899	27262	3029
900	27289	2998
901	27315	2967
902	27342	2937
903	27369	2906
904	27397	2875
905	27425	2845
906	27452	2814
907	27478	2784
908	27506	2753
909	27534	2723
910	27562	2692
911	27590	2662
912	27618	2631
913	27646	2601
914	27673	2570
915	27703	2540
916	27731	2510
917	27757	2479
918	27783	2448
919	27809	2418
920	27835	2387
921	27862	2357
922	27889	2326
923	27916	2296
924	27942	2265
925	27968	2235
926	27996	2204
927	28024	2174
928	28053	2143
929	28082	2113
930	28109	2083
931	28136	2052
932	28166	2022
933	28195	1992
934	28221	1961
935	28249	1931
936	28276	1901
937	28303	1870
938	28331	1840
939	28358	1810
940	28386	1779
941	28414	1749
942	28441	1719
943	28467	1688
944	28495	1658
945	28524	1628
946	28551	1597
947	28578	1567
948	28605	1537
949	28631	1506
950	28657	1476
951	28684	1446
952	28713	1416
953	28740	1385
954	28766	1355
955	28794	1325
956	28821	1295
957	28848	1264
